Iteration,Policy Loss,Value Loss
868,0.1123,0.0
869,0.0044,0.0
870,0.1677,0.0001
871,0.0255,0.0
872,0.0229,0.0
873,0.0314,0.0
874,0.019,0.0011
875,0.1095,0.0046
876,0.0932,0.0
877,0.0484,0.0
878,0.0412,0.0003
879,0.0175,0.0002
880,0.0256,0.0
881,0.3696,0.0
882,0.1644,0.0002
883,0.0192,0.0
884,0.1218,0.0001
885,0.0095,0.0
886,0.0375,0.0
887,0.1377,0.0
888,0.1496,0.0
889,0.0373,0.0025
890,0.091,0.0001
891,0.04,0.0006
892,0.0064,0.0002
893,0.004,0.0
894,0.1279,0.0
895,0.5374,0.0
896,0.1395,0.0001
897,0.1249,0.0
898,0.2265,0.0
899,0.2746,0.0
900,0.0189,0.0002
901,0.0138,0.0001
902,0.2044,0.0005
903,0.0538,0.0
904,0.0078,0.0005
905,0.1077,0.0003
906,0.0959,0.0
907,0.0068,0.0
908,0.0075,0.0
909,0.0875,0.0
910,0.1461,0.0
911,0.1176,0.0001
912,0.1463,0.0
913,0.0224,0.0012
914,0.1399,0.0018
915,0.1088,0.0
916,0.0809,0.0
917,0.0387,0.0001
918,0.0791,0.0004
919,0.0516,0.0
920,0.0973,0.0
921,0.0548,0.0
922,0.1215,0.0021
923,0.4273,0.0003
924,0.0643,0.0001
925,0.0118,0.0
926,0.0297,0.0
927,0.0099,0.0001
928,0.024,0.0003
929,0.0767,0.0011
930,0.0263,0.0
931,0.0262,0.0
932,0.0589,0.0
933,0.072,0.0007
934,0.105,0.0
935,0.0652,0.0003
936,0.0079,0.0005
937,0.2625,0.0004
938,0.2584,0.0001
939,0.1877,0.0003
940,0.0707,0.0006
941,0.0288,0.0
942,0.0499,0.0
943,0.0633,0.0
944,0.1209,0.0
945,0.0235,0.0002
946,0.2197,0.0002
947,0.0156,0.0055
948,0.1336,0.0
949,0.0032,0.0
950,0.0029,0.0
951,0.0041,0.0002
952,0.162,0.0061
953,0.2422,0.0
954,0.2402,0.0004
955,0.0194,0.0005
956,0.0066,0.0
957,0.1326,0.0
958,0.0116,0.0
959,0.0037,0.0006
960,0.2376,0.0
961,0.0063,0.0002
962,0.012,0.0001
963,0.0166,0.0041
964,0.0036,0.0
965,0.1023,0.0
966,0.0062,0.0
967,0.015,0.0
968,0.1188,0.01
969,0.2267,0.0
970,0.0079,0.0
971,0.008,0.0
972,0.0084,0.0001
973,0.0108,0.0
974,0.0521,0.0004
975,0.0103,0.0
976,0.0222,0.0
977,0.0197,0.0001
978,0.0857,0.0038
979,0.0537,0.0
980,0.0082,0.0
981,0.1135,0.0
982,0.0033,0.0001
983,0.0399,0.0003
984,0.0386,0.0001
985,0.0242,0.0002
986,0.0043,0.0003
987,0.011,0.0002
988,0.0051,0.0
989,0.0114,0.0
990,0.0007,0.0005
991,0.0065,0.0001
992,0.0033,0.0
993,0.1725,0.0008
994,0.0072,0.0001
995,0.0097,0.0
996,0.0033,0.0
997,0.1466,0.0
998,0.0009,0.0005
999,0.2078,0.0
1000,0.0136,0.0
1001,0.001,0.0013
1002,0.081,0.0004
1003,0.1979,0.0002
1004,0.1412,0.0
1005,0.1761,0.0
1006,0.0193,0.0
1007,0.0014,0.0001
1008,0.0065,0.0001
1009,0.2613,0.0083
1010,0.0032,0.0001
1011,0.1481,0.005
1012,0.2318,0.0009
1013,0.3748,0.0
1014,0.0008,0.0001
1015,0.0088,0.0001
1016,0.0103,0.0
1017,0.0734,0.0
1018,0.0559,0.0
1019,0.0157,0.0
1020,0.0171,0.0
1021,0.1454,0.0032
1022,0.0252,0.0076
1023,0.1665,0.0235
1024,0.3071,0.0
1025,0.0339,0.0001
1026,0.1101,0.0
1027,0.0176,0.0002
1028,0.0031,0.0007
1029,0.0889,0.0171
1030,0.0302,0.0001
1031,0.1273,0.0006
1032,0.0819,0.0107
1033,0.0086,0.008
1034,0.0091,0.0
1035,0.1325,0.0063
1036,0.0041,0.0004
1037,0.0571,0.0002
1038,0.001,0.0005
1039,0.0113,0.0008
1040,0.1665,0.0096
1041,0.107,0.0003
1042,0.0063,0.0001
1043,0.0018,0.0001
1044,0.0725,0.0106
1045,0.0014,0.0
1046,0.0043,0.0019
1047,0.0016,0.0002
1048,0.0283,0.0002
1049,0.0713,0.0
1050,0.0202,0.0018
1051,0.0343,0.0001
1052,0.0026,0.0008
1053,0.0328,0.0002
1054,0.0025,0.0
1055,0.0038,0.0002
1056,0.0097,0.0
1057,0.0186,0.0
1058,0.006,0.0
1059,0.0078,0.0
1060,0.3638,0.0001
1061,0.0068,0.0011
1062,0.0031,0.0002
1063,0.0187,0.0003
1064,0.1561,0.0
1065,0.0039,0.0048
1066,0.0632,0.0
1067,0.0201,0.0
1068,0.0222,0.0
1069,0.0184,0.0356
1070,0.0086,0.0005
1071,0.0933,0.0002
1072,0.0028,0.0005
1073,0.0553,0.0002
1074,0.0057,0.001
1075,0.0043,0.0022
1076,0.0526,0.0
1077,0.202,0.0
1078,0.0554,0.0
1079,0.0042,0.0
1080,0.0124,0.0008
1081,0.2105,0.0
1082,0.0517,0.0001
1083,0.0018,0.0008
1084,0.0013,0.0
1085,0.0038,0.0
1086,0.007,0.0
1087,0.1136,0.0
1088,0.0459,0.0004
1089,0.0888,0.0
1090,0.0035,0.0001
1091,0.0724,0.0001
1092,0.0326,0.0001
1093,0.1079,0.0
1094,0.1338,0.0001
1095,0.0681,0.0002
1096,0.003,0.0
1097,0.0083,0.0002
1098,0.0014,0.0001
1099,0.102,0.0
1100,0.0718,0.0017
1101,0.0019,0.0
1102,0.0906,0.0
1103,0.0666,0.0004
1104,0.0528,0.0005
1105,0.0514,0.0
1106,0.0015,0.0
1107,0.1343,0.0004
1108,0.0184,0.0
1109,0.028,0.0
1110,0.0073,0.0
1111,0.0038,0.0
1112,0.2679,0.0
1113,0.0015,0.0
1114,0.0066,0.0
1115,0.0032,0.0
1116,0.0026,0.0
1117,0.0034,0.0
1118,0.2522,0.0
1119,0.1861,0.0001
1120,0.0102,0.0
1121,0.0022,0.0
1122,0.1042,0.0
1123,0.2052,0.0001
1124,0.0879,0.0
1125,0.0488,0.0001
1126,0.062,0.0
1127,0.1274,0.0
1128,0.1437,0.0
1129,0.1321,0.0001
1130,0.1205,0.0
1131,0.0471,0.0
1132,0.1602,0.0001
1133,0.0282,0.0
1134,0.0163,0.0
1135,0.0137,0.0002
1136,0.0604,0.0
1137,0.0047,0.0
1138,0.0041,0.0005
1139,0.0399,0.0003
1140,0.07,0.0
1141,0.0058,0.0
1142,0.0115,0.0
1143,0.0277,0.0
1144,0.0082,0.0001
1145,0.0091,0.0
1146,0.0096,0.0
1147,0.0132,0.0002
1148,0.1393,0.0
1149,0.0286,0.0001
1150,0.0058,0.0
1151,0.0049,0.0002
1152,0.3088,0.0009
1153,0.0026,0.0001
1154,0.0071,0.0
1155,0.2689,0.0
1156,0.0045,0.0
1157,0.0029,0.0
1158,0.0023,0.0001
1159,0.1193,0.0002
1160,0.1573,0.0004
